Source: IEA. Licence: CC BY 4.0,,,,,,
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/,,,,,,
Units: gCO2/kWh,,,,,,
,World,United States,China,India,European Union,Southeast Asia
2015,506,458,654,777,314,596
2016,493,435,638,729,305,593
2017,490,423,629,728,303,595
2018,488,411,635,744,285,615
2019,477,384,622,705,251,632
2020,463,355,614,701,223,646
2021,468,369,609,722,235,626
2022,465,353,597,715,255,629
2023,460,332,593,729,202,650
2024,447,321,564,729,176,637
2025,432,320,529,701,171,638
2026,414,307,502,675,139,640
